"Município";"Peixes";"Carpa";"Curimatã, curimbatá";"Dourado";"Jatuarana, piabanha e piracanjuba";"Lambari";"Matrinxã";"Pacu e patinga";"Piau, piapara, piauçu, piava";"Pintado, cachara, cachapira e pintachara, surubim";"Pirapitinga";"Pirarucu";"Tambacu, tambatinga";"Tambaqui";"Tilápia";"Traíra e trairão";"Truta";"Tucunaré";"Outros peixes";"Alevinos";"Camarão";"Larvas e pós-larvas de camarão";"Ostras, vieiras e mexilhões";"Sementes de moluscos";"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)"
"Caridade do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"23";"6";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-"
"Castelo do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"290";"253";"164";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Caxingó (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"198";"404";"-";"-";"-";"96";"-";"-";"-";"-";"-";"-"
"Cocal (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"120";"41";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cocal de Telha (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"154";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cocal dos Alves (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Coivaras (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"325";"120";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Colônia do Gurguéia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"899";"15";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Colônia do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14";"106";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Conceição do Canindé (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"17";"-";"-";"19";"509";"132";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Corrente (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"192";"3";"17";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-"
"Cristalândia do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"23";"-";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-"
"Cristino Castro (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13";"-";"227";"-";"-";"-";"-";"37";"-";"-";"-";"-";"-";"-"
"Curimatá (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Currais (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"140";"52";"-";"-";"-";"-";"55";"-";"-";"-";"-";"-";"-"
"Curralinhos (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"87";"880";"330";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Demerval Lobão (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"274";"1441";"260";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Dom Expedito Lopes (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Domingos Mourão (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"23";"5";"27";"-";"-";"-";"11";"-";"-";"-";"-";"-";"-"
"Dom Inocêncio (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Elesbão Veloso (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"240";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Eliseu Martins (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"44";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Esperantina (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"19";"55";"-";"-";"423";"1096";"490";"-";"-";"-";"121";"-";"-";"-";"-";"-";"-"
"Fartura do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Flores do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11";"15";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Floresta do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Floriano (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28";"146";"9";"-";"-";"-";"45";"-";"-";"-";"-";"-";"-"
"Francinópolis (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"134";"241";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Francisco Ayres (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"76";"9";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-"
"Francisco Macedo (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"46";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Fronteiras (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"179";"-";"75";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Geminiano (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"113";"90";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Gilbués (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"54";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Guadalupe (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"22";"46951";"-";"-";"-";"36";"800";"-";"-";"-";"-";"-"
"Hugo Napoleão (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"40";"47";"-";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-"
"Ilha Grande (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"169";"-";"39";"-";"-";"-";"-";"-";"1897";"-";"-";"-";"-"
"Inhuma (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"24";"85";"38";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ipiranga do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"17";"7";"-";"-";"-";"11";"-";"-";"-";"-";"-";"-"
"Isaías Coelho (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"300";"90";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itainópolis (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"119";"112";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itaueira (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"210";"32";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-"
"Jacobina do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"15";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-"
"Jaicós (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"480";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jardim do Mulato (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-"
"Jatobá do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"230";"61";"30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jerumenha (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"560";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"João Costa (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"49";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Joaquim Pires (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"455";"251";"260";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Joca Marques (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"331";"39";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"José de Freitas (PI)";"...";"-";"153";"-";"-";"-";"-";"-";"-";"-";"-";"-";"449";"3600";"352";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Juazeiro do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"109";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Júlio Borges (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Jurema (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"15";"1";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-"
"Lagoinha do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa Alegre (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"182";"259";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa de São Francisco (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"3";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-"
"Lagoa do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"96";"53";"34";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa do Sítio (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"22";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Landri Sales (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38";"-";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-"
"Luís Correia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"125";"-";"-";"-";"-";"-";"-";"-";"25093";"-";"-";"-";"-"
"Luzilândia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"661";"954";"-";"-";"-";"53";"-";"-";"-";"-";"-";"-"
"Madeiro (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"145";"1016";"228";"-";"-";"-";"-";"40";"-";"-";"-";"-";"-"
"Manoel Emídio (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"63";"-";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-"
"Marcolândia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"134";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Marcos Parente (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"269";"18";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-"
"Matias Olímpio (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"19";"309";"-";"-";"-";"-";"31";"-";"-";"-";"-";"-";"-"
"Miguel Alves (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1054";"211";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Miguel Leão (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"85";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Milton Brandão (PI)";"...";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"29";"5";"2";"-";"-";"44";"-";"-";"-";"-";"-";"-"
"Monsenhor Gil (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"694";"220";"56";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Monte Alegre do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"405";"77";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Morro do Chapéu do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"151";"101";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Murici dos Portelas (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nazaré do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"36";"2";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-"
"Nazária (PI)";"...";"-";"284";"-";"-";"-";"-";"-";"-";"-";"-";"-";"487";"6877";"1026";"-";"-";"-";"-";"572";"-";"-";"-";"-";"-"
"Nossa Senhora de Nazaré (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"150";"-";"-";"-";"-";"-";"-"
"Nossa Senhora dos Remédios (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"11";"-";"-";"348";"780";"29";"-";"-";"-";"35";"-";"-";"-";"-";"-";"-"
"Novo Oriente do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Novo Santo Antônio (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"78";"154";"80";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Oeiras (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"341";"556";"65";"-";"-";"-";"112";"-";"-";"-";"-";"-";"-"
"Olho D'Água do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"86";"26";"-";"-";"-";"11";"-";"-";"-";"-";"-";"-"
"Paes Landim (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"79";"19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pajeú do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"54";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Palmeira do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14";"-";"-";"-";"-";"17";"-";"-";"-";"-";"-";"-"
"Palmeirais (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28";"3210";"2955";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Paquetá (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Parnaguá (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Parnaíba (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"120";"44";"4214";"-";"-";"-";"59";"-";"-";"-";"-";"-";"-"
"Passagem Franca do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"94";"-";"-";"-";"-";"29";"-";"-";"-";"-";"-";"-"
"Patos do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"266";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pau D'Arco do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"144";"177";"18";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Paulistana (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Pavussu (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"104";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pedro II (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"160";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pedro Laurentino (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"200";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nova Santa Rita (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Picos (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"298";"897";"-";"-";"-";"-";"187";"-";"-";"-";"-";"-"
"Pimenteiras (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"253";"24";"-";"-";"-";"26";"-";"-";"-";"-";"-";"-"
"Pio IX (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Piracuruca (PI)";"...";"-";"32";"-";"-";"-";"-";"-";"96";"170";"-";"-";"-";"594";"91";"-";"-";"-";"598";"529";"-";"-";"-";"-";"-"
"Piripiri (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"510";"-";"196";"-";"-";"-";"-";"80";"-";"-";"-";"-";"-"
"Porto (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"543";"802";"120";"-";"-";"-";"26";"-";"-";"-";"-";"-";"-"
"Porto Alegre do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"549";"-";"-";"-";"28";"-";"-";"-";"-";"-";"-"
