"Município";"Peixes";"Carpa";"Curimatã, curimbatá";"Dourado";"Jatuarana, piabanha e piracanjuba";"Lambari";"Matrinxã";"Pacu e patinga";"Piau, piapara, piauçu, piava";"Pintado, cachara, cachapira e pintachara, surubim";"Pirapitinga";"Pirarucu";"Tambacu, tambatinga";"Tambaqui";"Tilápia";"Traíra e trairão";"Truta";"Tucunaré";"Outros peixes";"Alevinos";"Camarão";"Larvas e pós-larvas de camarão";"Ostras, vieiras e mexilhões";"Sementes de moluscos";"Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)"
"Bonfim do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Boqueirão do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brasileira (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brejo do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"142";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buriti dos Lopes (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"33";"255";"82";"-";"-";"-";"-";"70";"-";"-";"-";"-";"-"
"Cabeceiras do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"250";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cajazeiras do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"60";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-"
"Cajueiro da Praia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30099";"6300";"-";"-";"-"
"Caldeirão Grande do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Campinas do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"91";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Alegre do Fidalgo (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Campo Grande do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Campo Largo do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"113";"602";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Campo Maior (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"108";"912";"588";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Canavieira (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"102";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Canto do Buriti (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"111";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Capitão de Campos (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"155";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Caraúbas do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Caridade do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Castelo do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"71";"365";"264";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Caxingó (PI)";"...";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"157";"223";"-";"-";"-";"86";"-";"-";"-";"-";"-";"-"
"Cocal (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"121";"-";"38";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cocal de Telha (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35";"37";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cocal dos Alves (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Coivaras (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"353";"113";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Colônia do Gurguéia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"254";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-"
"Colônia do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8";"26";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Conceição do Canindé (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"20";"-";"-";"134";"473";"124";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Corrente (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"26";"94";"-";"-";"-";"13";"-";"-";"-";"-";"-";"-"
"Cristalândia do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"59";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cristino Castro (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"194";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Curimatá (PI)";"...";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"39";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Currais (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"15";"-";"-";"-";"180";"147";"80";"-";"-";"-";"82";"-";"-";"-";"-";"-";"-"
"Curralinhos (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"77";"822";"304";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Demerval Lobão (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"256";"1366";"231";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Dom Expedito Lopes (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Domingos Mourão (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"3";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-"
"Dom Inocêncio (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"60";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Elesbão Veloso (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"180";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Eliseu Martins (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Esperantina (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"33";"56";"-";"-";"373";"930";"432";"-";"-";"-";"114";"-";"-";"-";"-";"-";"-"
"Fartura do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Flores do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"140";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Floresta do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"59";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Floriano (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"108";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-"
"Francinópolis (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"375";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Francisco Ayres (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"48";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Francisco Macedo (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Fronteiras (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"288";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Geminiano (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"107";"81";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Gilbués (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"53";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Guadalupe (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30210";"-";"-";"-";"180";"2784";"-";"-";"-";"-";"-"
"Hugo Napoleão (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"44";"52";"-";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-"
"Ilha Grande (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"68";"190";"15";"-";"-";"-";"240";"-";"-";"-";"-";"-";"-"
"Inhuma (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"13";"49";"21";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-"
"Ipiranga do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"15";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Isaías Coelho (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"272";"78";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itainópolis (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"106";"439";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itaueira (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"247";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jacobina do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"19";"14";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jaicós (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"27";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jardim do Mulato (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-"
"Jatobá do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"56";"162";"74";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jerumenha (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"242";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"João Costa (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"57";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Joaquim Pires (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"298";"280";"229";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Joca Marques (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"291";"39";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"José de Freitas (PI)";"...";"-";"141";"-";"-";"-";"-";"-";"-";"-";"-";"-";"422";"3159";"319";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Juazeiro do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"119";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Júlio Borges (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jurema (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoinha do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa Alegre (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"174";"245";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa de São Francisco (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"7";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-"
"Lagoa do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"82";"46";"33";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Lagoa do Sítio (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Landri Sales (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"33";"-";"-";"-";"-";"18";"-";"-";"-";"-";"-";"-"
"Luís Correia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"24020";"-";"-";"-";"-"
"Luzilândia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"609";"807";"-";"-";"-";"52";"-";"-";"-";"-";"-";"-"
"Madeiro (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"120";"883";"215";"-";"-";"-";"-";"81";"-";"-";"-";"-";"-"
"Manoel Emídio (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"51";"2";"-";"-";"-";"64";"-";"-";"-";"-";"-";"-"
"Marcolândia (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Marcos Parente (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9";"19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Matias Olímpio (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"37";"291";"-";"-";"-";"-";"33";"-";"-";"-";"-";"-";"-"
"Miguel Alves (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"319";"780";"28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Miguel Leão (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"73";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Milton Brandão (PI)";"...";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"23";"8";"1";"-";"-";"21";"-";"-";"-";"-";"-";"-"
"Monsenhor Gil (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"369";"399";"52";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Monte Alegre do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"44";"161";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Morro do Chapéu do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"60";"45";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Murici dos Portelas (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"17";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nazaré do Piauí (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Nazária (PI)";"...";"-";"265";"-";"-";"-";"-";"-";"-";"-";"-";"-";"409";"6243";"900";"-";"-";"-";"-";"558";"-";"-";"-";"-";"-"
"Nossa Senhora de Nazaré (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"145";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nossa Senhora dos Remédios (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"21";"-";"-";"115";"1159";"47";"-";"-";"-";"49";"-";"-";"-";"-";"-";"-"
"Novo Oriente do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Novo Santo Antônio (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"201";"74";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Oeiras (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"17";"495";"6";"-";"-";"-";"131";"-";"-";"-";"-";"-";"-"
"Olho D'Água do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"89";"27";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-"
"Paes Landim (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"80";"19";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pajeú do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"63";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Palmeira do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Palmeirais (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"27";"3177";"2827";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Paquetá (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"50";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Parnaguá (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Parnaíba (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"26";"-";"-";"-";"-";"75";"3405";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Passagem Franca do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"95";"-";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-"
"Patos do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"230";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pau D'Arco do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"137";"168";"17";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Paulistana (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Pavussu (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Pedro II (PI)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Pedro Laurentino (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"25";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Nova Santa Rita (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"36";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Picos (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"303";"740";"-";"-";"-";"-";"320";"-";"-";"-";"-";"-"
"Pimenteiras (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"111";"-";"-";"-";"-";"71";"-";"-";"-";"-";"-";"-"
"Pio IX (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Piracuruca (PI)";"...";"30";"82";"-";"-";"-";"-";"-";"70";"185";"-";"-";"-";"834";"516";"-";"-";"-";"654";"506";"-";"-";"-";"-";"-"
"Piripiri (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"24";"31";"-";"-";"-";"26";"205";"-";"-";"-";"-";"-"
"Porto (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"333";"843";"152";"-";"-";"-";"36";"-";"-";"-";"-";"-";"-"
"Porto Alegre do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11";"520";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
